PN,Total_Hours,Min_Start_Date,Max_End_Date,Total_Business_Days,Start_Date,End_Date
BGAT-113EP-0.5-001-00,22.00383396939273,2025-05-19 08:00:00,2025-05-26 10:11:00,8,2025-05-19 08:00,2025-05-26 10:11
BGAT-113EP-0.5-001-20,9.571949951512064,2025-05-19 08:00:00,2025-05-19 11:41:00,1,2025-05-19 08:00,2025-05-19 11:41
BGAT-113EP-0.5-001-70,20.84640381971581,2025-05-20 11:00:00,2025-05-23 10:05:00,3,2025-05-20 11:00,2025-05-23 10:05
FP-14EPK-0.5-003-00_70_50,0.9766063715595701,2025-05-20 09:11:00,2025-05-20 08:58:00,0,2025-05-20 09:11,2025-05-20 08:58
FP-16X40EP-0.65-001,59.17018524806306,2025-05-26 08:36:00,2025-06-09 09:59:00,15,2025-05-26 08:36,2025-06-09 09:59
FP-16X40EP-0.65-001-E0,28.28688675332401,2025-05-21 13:55:00,2025-05-28 13:18:00,7,2025-05-21 13:55,2025-05-28 13:18
FP-16X40EP-0.65-001-G0,31.838905759279097,2025-05-22 12:13:00,2025-05-30 08:01:00,8,2025-05-22 12:13,2025-05-30 08:01
FP-28X35EPK-0.65-001-C0,19.083908479389883,2025-05-19 08:00:00,2025-05-22 12:52:00,4,2025-05-19 08:00,2025-05-22 12:52
FP-28X35EPK-0.65-001-G0,20.9754048786872,2025-05-19 08:00:00,2025-05-23 08:05:00,5,2025-05-19 08:00,2025-05-23 08:05
FP-8EPK-0.65-018-70_50,0.8640061214762831,2025-05-20 08:00:00,2025-05-20 08:51:00,1,2025-05-20 08:00,2025-05-20 08:51
OTQ-48EPK-0.5-041-00,10.891809870302222,2025-05-19 13:01:00,2025-05-21 10:10:00,2,2025-05-19 13:01,2025-05-21 10:10
QFN-16X4EPK-0.5-008-S0,4.949442566472591,2025-05-19 12:57:00,2025-05-20 11:15:00,1,2025-05-19 12:57,2025-05-20 11:15
QFN-16X8EPK-0.5-013-00,31.39016330279584,2025-05-19 08:00:00,2025-05-27 12:15:00,9,2025-05-19 08:00,2025-05-27 12:15
QFN-16X8EPK-0.5-013-70,13.35668946839467,2025-05-19 08:00:00,2025-05-20 10:37:00,2,2025-05-19 08:00,2025-05-20 10:37
QFN-28X32EPK-0.5-001,19.97160379465464,2025-05-21 08:29:00,2025-05-26 08:43:00,6,2025-05-21 08:29,2025-05-26 08:43
QFN-8EPK-0.65-009-U0_70,12.698211064807957,2025-05-20 10:51:00,2025-05-22 09:20:00,2,2025-05-20 10:51,2025-05-22 09:20
QFN-9EPK-0.5-003-U0/-70_QFNSOCKETW/ REFPO_PO,4.0,2025-05-19 08:00:00,2025-05-19 12:00:00,1,2025-05-19 08:00,2025-05-19 12:00
QFN-9X32EPK-0.475-001-S0_STRIPSOCKET & LIDW/ REFPO_,7.0,2025-05-19 08:00:00,2025-05-20 09:00:00,2,2025-05-19 08:00,2025-05-20 09:00
